Invoice ID,Customer,Division,Department,Cost Center,Vendor,Invoice Date,Due Date,Amount,Tax,Currency,Payment Method,Payment Status,Days Late,Expense Category,Account Code,Ledger Type
INV-2023-10010,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Amazon Web Services (AWS),2023-10-24,2023-11-08,30125.51,0,USD,Wire Transfer,Pending,0,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS)
INV-2024-10011,Silicon Interfaces,VLSI Division,VLSI Lab & Validation,CC-VLSI-LAB,Keysight Technologies,2024-01-25,2024-03-10,1866057.64,335890.38,INR,Bank Transfer (NEFT),Paid,0,Lab Equipment & Testing Services,AC-5002,Direct Services Cost (COGS)
INV-2024-10012,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,EY (Ernst & Young),2024-01-15,2024-02-29,18765.01,3377.7,INR,Corporate UPI,Paid,0,Legal & Accounting Fees,AC-5013,Administrative & General
INV-2024-10013,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,GreytHR,2024-11-30,2024-12-15,55898.59,10061.75,INR,Corporate Credit Card,Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2023-10014,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Oberoi Group,2023-09-08,2023-10-08,60769.24,10938.46,INR,Direct Debit,Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2024-10015,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,CII Conferences,2024-07-24,2024-08-23,88347.24,15902.5,INR,Corporate Credit Card,Paid,0,Event Sponsorships & Conferences,AC-5011,Sales & Marketing
INV-2023-10016,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,KPMG,2023-02-02,2023-03-19,37207.83,6697.41,INR,Corporate Credit Card,Paid,0,Legal & Accounting Fees,AC-5013,Administrative & General
INV-2024-10017,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,New Relic,2024-08-03,2024-09-17,40366.86,7266.03,INR,Direct Debit,Paid,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx)
INV-2024-10018,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,MSEDCL,2024-10-20,2024-12-19,75916.68,13665,INR,Corporate Credit Card,Paid,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
INV-2024-10019,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Hilton,2024-07-28,2024-09-11,133604.95,24048.89,INR,Direct Debit,Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2024-10020,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Smartworks,2024-02-13,2024-03-29,323648.27,58256.69,INR,Corporate Credit Card,Paid,0,Office Rent & Coworking Spaces,AC-5007,Operating Expense (OpEx)
INV-2024-10021,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,InCore Semiconductors,2024-05-20,2024-06-04,1279996.52,230399.37,INR,Bank Transfer (RTGS),Pending,0,Hardware Emulation & IP Licensing,AC-5001,Direct Services Cost (COGS)
INV-2024-10022,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,SAP SuccessFactors,2024-10-04,2024-11-03,85623.63,15412.25,INR,Direct Debit,Pending,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2023-10023,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,Cashfree,2023-03-07,2023-05-06,64649.97,11636.99,INR,Direct Debit,Paid,0,Bank & Financial Charges,AC-5014,Administrative & General
INV-2023-10024,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,CtrlS Datacenters,2023-09-15,2023-09-30,3440982.89,619376.92,INR,Bank Transfer (RTGS),Paid,0,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS)
INV-2024-10025,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,GreytHR,2024-07-03,2024-08-17,84992.19,15298.59,INR,Direct Debit,Pending,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2023-10026,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Workday,2023-10-28,2023-12-27,7408.32,1333.5,INR,Corporate Credit Card,Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2024-10027,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Cisco Systems,2024-05-27,2024-06-26,625689.06,112624.03,INR,Bank Transfer (RTGS),Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx)
INV-2024-10028,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,ARM Holdings,2024-10-16,2024-11-15,1262093.26,227176.79,INR,Bank Transfer (RTGS),Paid,0,Hardware Emulation & IP Licensing,AC-5001,Direct Services Cost (COGS)
INV-2024-10029,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,AZB & Partners,2024-06-27,2024-07-12,40588.2,7305.88,INR,Direct Debit,Paid,0,Legal & Accounting Fees,AC-5013,Administrative & General
INV-2023-10030,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Workday,2023-04-25,2023-06-09,17207.53,3097.36,INR,Corporate UPI,Pending,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2023-10031,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Capgemini Tech,2023-03-01,2023-03-31,1286670.8,231600.74,INR,Bank Transfer (RTGS),Pending,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS)
INV-2024-10032,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,WeWork,2024-05-12,2024-05-27,874064.44,157331.6,INR,Bank Transfer (RTGS),Overdue,69,Office Rent & Coworking Spaces,AC-5007,Operating Expense (OpEx)
INV-2024-10033,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Marriott,2024-11-06,2025-01-05,155156.79,27928.22,INR,Direct Debit,Overdue,22,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2024-10034,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Brijraj Cleanworks,2024-09-13,2024-11-12,38715.99,6968.88,INR,Bank Transfer (NEFT),Overdue,70,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
INV-2023-10035,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Docker,2023-11-16,2024-01-15,80013.72,14402.47,INR,Direct Debit,Overdue,84,Software Subscriptions (SaaS),AC-5005,Operating Expense (OpEx)
INV-2024-10036,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip,2024-06-13,2024-08-12,2970132.59,534623.87,INR,Bank Transfer (RTGS),Paid,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS)
INV-2023-10037,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,DAC (Design Automation Conference),2023-12-13,2023-12-28,98730.76,17771.54,INR,Corporate Credit Card,Paid,0,Event Sponsorships & Conferences,AC-5011,Sales & Marketing
INV-2023-10038,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,CtrlS Datacenters,2023-08-14,2023-08-29,1628721.53,293169.88,INR,Bank Transfer (RTGS),Paid,0,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS)
INV-2023-10039,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,LinkedIn Marketing,2023-03-11,2023-03-26,193191.06,34774.39,INR,Corporate Credit Card,Pending,0,Digital Advertising & PR,AC-5010,Sales & Marketing
INV-2023-10040,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,BrowserStack,2023-09-01,2023-10-16,57616.16,10370.91,INR,Corporate Credit Card,Paid,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx)
INV-2023-10041,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Brijraj Cleanworks,2023-05-16,2023-07-15,10497.07,1889.47,INR,Corporate UPI,Paid,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
INV-2024-10042,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Vi Enterprise,2024-02-21,2024-03-22,29695.24,5345.14,INR,Bank Transfer (NEFT),Paid,0,Internet & Telecom,AC-5016,Operating Expense (OpEx)
INV-2023-10043,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,MSEDCL,2023-12-29,2024-02-27,57400.85,10332.15,INR,Bank Transfer (NEFT),Paid,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
INV-2024-10044,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,JPMorgan Chase,2024-11-20,2024-12-05,11033.62,1986.05,INR,Corporate UPI,Paid,0,Bank & Financial Charges,AC-5014,Administrative & General
INV-2023-10045,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,AMD / Xilinx,2023-09-12,2023-10-12,2609892.74,469780.69,INR,Bank Transfer (NEFT),Paid,0,Hardware Emulation & IP Licensing,AC-5001,Direct Services Cost (COGS)
INV-2024-10046,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Regus / IWG,2024-03-08,2024-04-07,117747.79,21194.6,INR,Corporate Credit Card,Paid,0,Office Rent & Coworking Spaces,AC-5007,Operating Expense (OpEx)
INV-2024-10047,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,DAC (Design Automation Conference),2024-03-29,2024-04-13,44950.9,8091.16,INR,Bank Transfer (NEFT),Paid,0,Event Sponsorships & Conferences,AC-5011,Sales & Marketing
INV-2023-10048,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Wipro Engineering,2023-04-06,2023-05-06,545756.8,98236.22,INR,Bank Transfer (NEFT),Paid,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS)
INV-2023-10049,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,State Bank of India,2023-08-07,2023-10-06,78047.19,14048.49,INR,Direct Debit,Overdue,22,Bank & Financial Charges,AC-5014,Administrative & General
INV-2024-10050,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Emirates,2024-02-04,2024-03-20,177377.17,31927.89,INR,Direct Debit,Overdue,59,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2024-10051,Silicon Interfaces,VLSI Division,VLSI Lab & Validation,CC-VLSI-LAB,Tessolve Semiconductor,2024-07-23,2024-09-21,1886106.13,339499.1,INR,Bank Transfer (NEFT),Paid,0,Lab Equipment & Testing Services,AC-5002,Direct Services Cost (COGS)
INV-2023-10052,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,New Relic,2023-03-01,2023-03-16,24888.19,4479.87,INR,Corporate Credit Card,Paid,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx)
INV-2024-10053,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Wipro Engineering,2024-08-21,2024-10-20,1704090.19,306736.23,INR,Bank Transfer (RTGS),Paid,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS)
INV-2024-10054,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Wipro Engineering,2024-06-04,2024-06-19,1364512.31,245612.22,INR,Bank Transfer (RTGS),Pending,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS)
INV-2024-10055,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,HP Inc.,2024-11-22,2024-12-22,390465.84,70283.85,INR,Bank Transfer (NEFT),Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx)
INV-2024-10056,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Compass Group,2024-08-15,2024-08-30,32084.04,5775.13,INR,Direct Debit,Paid,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
INV-2024-10057,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Mindgrove Technologies,2024-08-20,2024-10-04,3418968.28,615414.29,INR,Bank Transfer (NEFT),Overdue,27,EDA Tools & Software Licenses,AC-5000,Direct Services Cost (COGS)
INV-2023-10058,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Cadence Design Systems,2023-05-15,2023-06-29,22888.36,0,USD,Wire Transfer,Paid,0,EDA Tools & Software Licenses,AC-5000,Direct Services Cost (COGS)
INV-2023-10059,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Singapore Airlines,2023-01-10,2023-03-11,198192.84,35674.71,INR,Bank Transfer (NEFT),Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2023-10060,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,PwC,2023-03-17,2023-04-16,85819.11,15447.44,INR,Corporate Credit Card,Paid,0,Legal & Accounting Fees,AC-5013,Administrative & General
INV-2023-10061,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,IndiGo Airlines,2023-03-12,2023-04-11,169029.36,30425.28,INR,Corporate Credit Card,Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2024-10062,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Awfis Space Solutions,2024-07-10,2024-08-24,413956.09,74512.1,INR,Bank Transfer (NEFT),Paid,0,Office Rent & Coworking Spaces,AC-5007,Operating Expense (OpEx)
INV-2023-10063,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Oberoi Group,2023-01-09,2023-02-23,61224.57,11020.42,INR,Corporate Credit Card,Overdue,14,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2023-10064,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,Meta for Business,2023-04-29,2023-05-14,123167.15,22170.09,INR,Corporate Credit Card,Paid,0,Digital Advertising & PR,AC-5010,Sales & Marketing
INV-2023-10065,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Cisco Systems,2023-10-16,2023-11-15,182332.82,32819.91,INR,Corporate Credit Card,Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx)
INV-2024-10066,Silicon Interfaces,VLSI Division,VLSI Lab & Validation,CC-VLSI-LAB,Rohde & Schwarz,2024-06-01,2024-07-31,2333729.81,420071.37,INR,Bank Transfer (RTGS),Paid,0,Lab Equipment & Testing Services,AC-5002,Direct Services Cost (COGS)
INV-2024-10067,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,DAC (Design Automation Conference),2024-10-11,2024-12-10,18216.04,3278.89,INR,Corporate Credit Card,Pending,0,Event Sponsorships & Conferences,AC-5011,Sales & Marketing
INV-2023-10068,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,Datadog,2023-12-08,2024-01-07,11547.55,2078.56,INR,Corporate UPI,Paid,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx)
INV-2024-10069,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,IEEE Expos,2024-03-28,2024-05-27,54289.62,9772.13,INR,Corporate Credit Card,Paid,0,Event Sponsorships & Conferences,AC-5011,Sales & Marketing
INV-2023-10070,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,Google Ads,2023-06-02,2023-06-17,185574.01,33403.32,INR,Bank Transfer (NEFT),Pending,0,Digital Advertising & PR,AC-5010,Sales & Marketing
INV-2023-10071,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Oberoi Group,2023-06-01,2023-07-31,160489.23,28888.06,INR,Direct Debit,Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2023-10072,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Redington India,2023-02-10,2023-03-27,528055.78,95050.04,INR,Bank Transfer (RTGS),Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx)
INV-2023-10073,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,GreytHR,2023-04-16,2023-05-31,84473.66,15205.26,INR,Direct Debit,Pending,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2023-10074,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Brijraj Cleanworks,2023-06-08,2023-07-08,94880.97,17078.57,INR,Corporate Credit Card,Pending,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
INV-2023-10075,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Keka HR,2023-01-26,2023-02-25,26952.11,4851.38,INR,Direct Debit,Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2024-10076,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,BDO India,2024-11-16,2024-12-16,24473.51,4405.23,INR,Bank Transfer (NEFT),Paid,0,Legal & Accounting Fees,AC-5013,Administrative & General
INV-2023-10077,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,Google Ads,2023-02-09,2023-04-10,2215.81,0,USD,Wire Transfer,Paid,0,Digital Advertising & PR,AC-5010,Sales & Marketing
INV-2023-10078,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,IESA Vision Summit,2023-12-25,2024-02-08,25853.5,4653.63,INR,Corporate Credit Card,Pending,0,Event Sponsorships & Conferences,AC-5011,Sales & Marketing
INV-2023-10079,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Hilton,2023-01-25,2023-02-24,92459.01,16642.62,INR,Direct Debit,Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2023-10080,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Vi Enterprise,2023-03-13,2023-04-27,59769.07,10758.43,INR,Bank Transfer (NEFT),Paid,0,Internet & Telecom,AC-5016,Operating Expense (OpEx)
INV-2024-10081,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip,2024-11-26,2025-01-10,2629599.88,473327.98,INR,Bank Transfer (NEFT),Overdue,15,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS)
INV-2024-10082,Silicon Interfaces,VLSI Division,VLSI Lab & Validation,CC-VLSI-LAB,Tektronix,2024-08-17,2024-10-01,849205.49,152856.99,INR,Bank Transfer (NEFT),Paid,0,Lab Equipment & Testing Services,AC-5002,Direct Services Cost (COGS)
INV-2023-10083,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,BambooHR,2023-11-18,2024-01-17,93998.83,16919.79,INR,Bank Transfer (NEFT),Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2024-10084,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Workday,2024-01-30,2024-02-29,64216.59,11558.99,INR,Bank Transfer (NEFT),Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2023-10085,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Rashi Peripherals,2023-01-02,2023-02-01,655757.18,118036.29,INR,Bank Transfer (RTGS),Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx)
INV-2023-10086,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Tata Tele Business,2023-12-05,2024-01-19,65700.19,11826.03,INR,Corporate Credit Card,Paid,0,Internet & Telecom,AC-5016,Operating Expense (OpEx)
INV-2024-10087,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Uber,2024-06-03,2024-07-18,27096.83,4877.43,INR,Direct Debit,Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2023-10088,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip,2023-10-30,2023-11-29,3318866.09,597395.9,INR,Bank Transfer (NEFT),Paid,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS)
INV-2024-10089,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Slack,2024-09-22,2024-11-06,37288.12,6711.86,INR,Corporate Credit Card,Paid,0,Software Subscriptions (SaaS),AC-5005,Operating Expense (OpEx)
INV-2023-10090,Silicon Interfaces,VLSI Division,VLSI Lab & Validation,CC-VLSI-LAB,Rohde & Schwarz,2023-10-21,2023-11-20,1751314.26,315236.57,INR,Bank Transfer (NEFT),Paid,0,Lab Equipment & Testing Services,AC-5002,Direct Services Cost (COGS)
INV-2024-10091,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,State Bank of India,2024-03-28,2024-05-27,64613.02,11630.34,INR,Bank Transfer (NEFT),Paid,0,Bank & Financial Charges,AC-5014,Administrative & General
INV-2023-10092,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Bharti Airtel Business,2023-06-23,2023-07-08,33149.27,5966.87,INR,Bank Transfer (NEFT),Paid,0,Internet & Telecom,AC-5016,Operating Expense (OpEx)
INV-2023-10093,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Postman,2023-04-06,2023-05-06,60912.65,10964.28,INR,Corporate Credit Card,Paid,0,Software Subscriptions (SaaS),AC-5005,Operating Expense (OpEx)
INV-2023-10094,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Microsoft Azure,2023-02-17,2023-03-19,26808.97,0,USD,Wire Transfer,Overdue,79,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS)
INV-2024-10095,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,Datadog,2024-04-11,2024-06-10,25550.78,4599.14,INR,Bank Transfer (NEFT),Pending,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx)
INV-2024-10096,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,New Relic,2024-01-29,2024-03-29,64179.05,11552.23,INR,Corporate Credit Card,Paid,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx)
INV-2023-10097,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,CII Conferences,2023-01-06,2023-01-21,85958.39,15472.51,INR,Corporate Credit Card,Pending,0,Event Sponsorships & Conferences,AC-5011,Sales & Marketing
INV-2024-10098,Silicon Interfaces,Corporate / Shared,Business Development & BD,CC-CORP-BD,Marriott,2024-06-14,2024-08-13,34588.32,6225.9,INR,Corporate Credit Card,Paid,0,Travel & Lodging,AC-5012,Travel & Entertainment
INV-2024-10099,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Atlassian (Jira/Confluence),2024-04-12,2024-05-12,88469.85,15924.57,INR,Bank Transfer (NEFT),Pending,0,Software Subscriptions (SaaS),AC-5005,Operating Expense (OpEx)
INV-2024-10100,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Reliance Jio Enterprise,2024-07-26,2024-09-09,96324.95,17338.49,INR,Bank Transfer (NEFT),Overdue,57,Internet & Telecom,AC-5016,Operating Expense (OpEx)
INV-2024-10101,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Embassy Office Parks,2024-05-31,2024-07-30,192675.09,34681.52,INR,Bank Transfer (NEFT),Pending,0,Office Rent & Coworking Spaces,AC-5007,Operating Expense (OpEx)
INV-2023-10102,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,E2E Networks,2023-06-12,2023-08-11,583156.62,104968.19,INR,Bank Transfer (RTGS),Paid,0,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS)
INV-2023-10103,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,LambdaTest,2023-10-11,2023-12-10,87796,15803.28,INR,Direct Debit,Paid,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx)
INV-2023-10104,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Keka HR,2023-03-21,2023-05-05,20099.14,3617.85,INR,Direct Debit,Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx)
INV-2023-10105,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Google Cloud Platform (GCP),2023-03-24,2023-04-23,3071176.55,552811.78,INR,Bank Transfer (NEFT),Paid,0,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS)
INV-2023-10106,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Compass Group,2023-08-08,2023-08-23,89939.42,16189.1,INR,Direct Debit,Paid,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
